IMEI,Date,pm1conc_1hrs,pm10conc_1hrs,pm25raw_1hrs,pm25conc_1hrs, battery, aqi, latitude, longitude, humidity, temperature, wind speed, wind direction,severity,health_impact
868996034800250,"2019-01-03T14:00:43.120+05:30",76.0,128.0,121.0,121.0,100.0,301.0,23.205244,72.843399,32.0,36.0,3.6,204.4,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T15:00:53.860+05:30",70.0,115.0,109.0,109.0,100.0,263.0,23.205244,72.843399,48.3,32.0,3.7,195.4,Poor,Breathing discomfort to most people on prolonged exposure
868996034800250,"2019-01-03T16:00:19.494+05:30",60.0,98.0,93.0,93.0,100.0,210.0,23.205244,72.843399,45.2,31.0,4.3,196.0,Poor,Breathing discomfort to most people on prolonged exposure
868996034800250,"2019-01-03T17:00:09.387+05:30",56.0,91.0,86.0,86.0,100.0,187.0,23.205244,72.843399,47.0,29.0,1.5,258.9,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-03T18:00:48.479+05:30",55.0,88.0,84.0,84.0,100.0,180.0,23.205244,72.843399,60.1,27.0,4.3,241.7,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-17T16:03:11.777+05:30",27.0,52.0,43.0,43.0,95.0,72.0,23.205244,72.843399,32.8,26.0,0.0,104.0,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-21T17:48:32.333+05:30",31.0,61.0,49.0,49.0,100.0,82.0,23.205244,72.843399,34.0,26.0,14.0,280.0,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-21T18:00:16.656+05:30",31.0,61.0,49.0,49.0,100.0,82.0,23.205244,72.843399,34.1,25.0,12.7,278.7,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-21T19:00:47.355+05:30",31.0,60.0,48.0,48.0,95.0,80.0,23.205244,72.843399,43.0,22.0,7.9,232.8,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-21T20:00:37.062+05:30",31.0,58.0,47.0,47.0,89.0,78.0,23.205244,72.843399,46.4,22.0,6.4,215.1,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-21T21:00:58.190+05:30",30.0,58.0,47.0,47.0,80.0,78.0,23.205244,72.843399,45.4,23.0,6.0,220.0,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-21T22:00:31.302+05:30",34.0,65.0,53.0,53.0,73.0,88.0,23.205244,72.843399,49.6,22.0,6.4,215.5,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-21T23:00:05.918+05:30",32.0,62.0,50.0,50.0,94.0,83.0,23.205244,72.843399,54.6,22.0,8.6,222.0,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T00:00:27.688+05:30",29.0,55.0,45.0,45.0,100.0,75.0,23.205244,72.843399,58.1,22.0,11.7,251.6,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T01:00:58.667+05:30",25.0,48.0,40.0,40.0,100.0,67.0,23.205244,72.843399,63.4,21.0,14.7,270.0,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T02:00:49.453+05:30",23.0,46.0,38.0,38.0,100.0,63.0,23.205244,72.843399,64.0,20.0,10.6,270.0,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T03:00:58.670+05:30",23.0,45.0,37.0,37.0,100.0,62.0,23.205244,72.843399,67.1,19.0,9.4,270.0,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T04:00:27.719+05:30",22.0,41.0,34.0,34.0,100.0,57.0,23.205244,72.843399,68.0,18.0,7.4,262.2,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T05:00:20.131+05:30",23.0,43.0,36.0,36.0,100.0,60.0,23.205244,72.843399,70.9,17.0,7.0,237.7,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T06:00:22.088+05:30",27.0,54.0,44.0,44.0,100.0,73.0,23.205244,72.843399,72.9,16.0,6.8,237.7,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T07:00:34.036+05:30",36.0,69.0,58.0,58.0,100.0,97.0,23.205244,72.843399,77.0,15.0,6.0,268.3,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T08:00:35.387+05:30",59.0,106.0,98.0,98.0,100.0,227.0,23.205244,72.843399,76.1,15.0,6.0,260.0,Poor,Breathing discomfort to most people on prolonged exposure
868996034800250,"2019-01-22T09:00:35.061+05:30",92.0,166.0,154.0,154.0,100.0,326.0,23.205244,72.843399,68.5,15.0,6.0,276.6,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-22T10:00:22.056+05:30",73.0,130.0,121.0,121.0,100.0,301.0,23.205244,72.843399,57.9,18.0,6.8,270.0,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-22T11:00:35.789+05:30",54.0,94.0,87.0,87.0,100.0,190.0,23.205244,72.843399,49.8,20.0,9.4,264.2,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-22T12:00:51.142+05:30",36.0,69.0,58.0,58.0,100.0,97.0,23.205244,72.843399,42.8,22.0,11.7,272.5,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T13:00:07.895+05:30",27.0,52.0,43.0,43.0,100.0,72.0,23.205244,72.843399,39.0,23.0,9.2,275.9,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T14:00:55.724+05:30",23.0,42.0,36.0,36.0,95.0,60.0,23.205244,72.843399,34.0,25.0,14.8,220.9,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T15:00:27.074+05:30",24.0,42.0,36.0,36.0,100.0,60.0,23.205244,72.843399,34.0,26.0,11.0,250.0,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T16:00:39.731+05:30",24.0,41.0,36.0,36.0,100.0,60.0,23.205244,72.843399,34.0,25.0,9.0,279.5,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T17:00:00.282+05:30",21.0,37.0,33.0,33.0,100.0,55.0,23.205244,72.843399,34.0,25.0,10.5,287.9,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T18:00:00.108+05:30",22.0,39.0,34.0,34.0,100.0,57.0,23.205244,72.843399,30.8,15.0,0.9,123.4,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T19:00:47.261+05:30",26.0,50.0,41.0,41.0,100.0,68.0,23.205244,72.843399,55.6,20.0,0.0,85.2,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T20:00:42.753+05:30",30.0,57.0,46.0,46.0,100.0,77.0,23.205244,72.843399,56.3,20.0,0.0,113.4,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T21:00:45.971+05:30",33.0,61.0,49.0,49.0,100.0,82.0,23.205244,72.843399,65.2,18.0,0.0,140.7,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T22:00:23.784+05:30",37.0,66.0,54.0,54.0,100.0,90.0,23.205244,72.843399,71.8,16.0,0.0,151.7,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-22T23:00:55.728+05:30",40.0,70.0,59.0,59.0,100.0,98.0,23.205244,72.843399,72.1,16.0,0.0,168.8,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-23T00:00:36.440+05:30",43.0,73.0,64.0,64.0,100.0,113.0,23.205244,72.843399,76.5,17.0,0.0,125.5,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-23T01:00:04.978+05:30",44.0,74.0,66.0,66.0,100.0,120.0,23.205244,72.843399,77.2,15.0,0.0,75.8,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-23T02:00:12.986+05:30",45.0,75.0,67.0,67.0,100.0,123.0,23.205244,72.843399,77.4,15.0,0.0,114.4,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-23T03:00:13.026+05:30",51.0,84.0,78.0,78.0,100.0,160.0,23.205244,72.843399,79.7,15.0,0.0,156.6,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-23T04:00:31.455+05:30",48.0,79.0,73.0,73.0,100.0,143.0,23.205244,72.843399,82.5,14.0,0.0,156.7,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-23T05:00:10.728+05:30",47.0,78.0,71.0,71.0,100.0,137.0,23.205244,72.843399,80.5,13.0,0.4,189.3,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-23T06:00:48.702+05:30",48.0,80.0,73.0,73.0,100.0,143.0,23.205244,72.843399,82.5,13.0,1.3,277.8,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-23T07:00:55.015+05:30",50.0,82.0,77.0,77.0,100.0,157.0,23.205244,72.843399,86.3,13.0,2.5,65.6,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-23T08:00:34.483+05:30",66.0,106.0,100.0,100.0,100.0,233.0,23.205244,72.843399,86.7,13.0,5.2,135.6,Poor,Breathing discomfort to most people on prolonged exposure
868996034800250,"2019-01-23T09:00:44.139+05:30",79.0,131.0,124.0,124.0,100.0,303.0,23.205244,72.843399,75.3,15.0,0.9,169.4,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-23T10:00:58.766+05:30",66.0,107.0,101.0,101.0,100.0,237.0,23.205244,72.843399,65.8,18.0,0.9,44.5,Poor,Breathing discomfort to most people on prolonged exposure
868996034800250,"2019-01-23T11:00:55.840+05:30",51.0,85.0,78.0,78.0,100.0,160.0,23.205244,72.843399,56.5,21.0,0.0,114.0,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-23T12:00:18.253+05:30",36.0,67.0,55.0,55.0,100.0,92.0,23.205244,72.843399,50.5,23.0,1.7,175.5,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-23T13:00:29.365+05:30",29.0,54.0,44.0,44.0,92.0,73.0,23.205244,72.843399,48.2,24.0,5.3,220.3,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-23T14:00:44.043+05:30",27.0,48.0,40.0,40.0,86.0,67.0,23.205244,72.843399,48.0,24.0,0.8,120.6,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-23T15:00:39.630+05:30",26.0,49.0,40.0,40.0,80.0,67.0,23.205244,72.843399,43.4,25.0,2.8,238.3,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-23T16:00:43.338+05:30",30.0,54.0,45.0,45.0,72.0,75.0,23.205244,72.843399,42.7,25.0,5.0,222.5,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2019-01-23T17:00:20.698+05:30",26.0,49.0,42.0,42.0,67.0,70.0,23.205244,72.843399,42.0,25.0,7.8,293.0,Satisfactory,Minor breathing discomfort to sensitive people
